discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 70)",s1p1,Images and impressions definitely have too much of an effect on people.,"Final_Claim (0, 70)",3,-,-,"Final_Claim (0, 70)",2,-,-,"Final_Claim (0, 70)",3,-,-
"(72, 146)",s1p1,I agree with this statement because humans tend to believe with their eyes.,"Primary_Claim (72, 146)",3,"s1p1|Final_Claim|0,70","s1p2|Primary_Claim|0,72","Data (72, 564)",2,"s1p1|Final_Claim|0,70","s1p1|Data|566,811; s1p1|Data|813,1785","Primary_Claim (72, 146)",3,"s1p1|Final_Claim|0,70","s1p2|Primary_Claim|0,72"
"(148, 564)",s1p1,"It makes complete sense why people would advertise false promises because if people see something that is good it is probable that they will think that whatever is being advertised will be equally good or better. Because ""seeing is believing,"" big corporations use that as a scheme to make people believe that their product is worth your hard money. There are many ways to use images to make people believe something.","Data (148, 564)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|566,811; s1p1|Data|813,1252","Data (72, 564)",2,"s1p1|Final_Claim|0,70","s1p1|Data|566,811; s1p1|Data|813,1785","Data (148, 564)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|566,811; s1p1|Data|813,1252"
"(566, 811)",s1p1,"For example, if a product is geared toward young men, there is most likely going to be images of attractive women, wearing not too much clothing. These tend to make boys think that if they use that product that they will get attention from women.","Data (566, 811)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|148,564; s1p1|Data|813,1252","Data (566, 811)",2,"s1p1|Final_Claim|0,70","s1p1|Data|72,564; s1p1|Data|813,1785","Data (566, 811)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|148,564; s1p1|Data|813,1252"
"(813, 1252)",s1p1,"Moreover, products geared toward getting the attention of women are more likely to pick on women's insecurity. This is found most commonly in beauty products where an attractive woman is shown and it is made to believe that she became that way because of the particular product. This creates a sense of false hope because these women's pictures are most likely photo-shopped to be ideal or they have been through extensive cosmetic surgery.","Data (813, 1252)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|148,564; s1p1|Data|566,811","Data (813, 1785)",3,"s1p1|Final_Claim|0,70","s1p1|Data|566,811; s1p1|Data|72,564","Data (813, 1252)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|1254,1785; s1p1|Data|148,564; s1p1|Data|566,811"
"(1254, 1785)",s1p1,"Photoshop is a dangerous tool used by people in advertisement to deceive the audience. If people believe that they need to do something or use a particular product to achieve the feeling of satisfaction based on what they see in advertisements, it makes them spend more money to do this which lands right in the hands of the big corporations. These corporations literally make money from selling dreams to people. But don't we all use a little false advertising now and then to make ourselves seem more trustworthy, kind or likable?","Data (1254, 1785)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|148,564; s1p1|Data|566,811; s1p1|Data|813,1252","Data (813, 1785)",3,"s1p1|Final_Claim|0,70","s1p1|Data|566,811; s1p1|Data|72,564","Data (1254, 1785)",3,"s1p1|Primary_Claim|72,146","s1p1|Data|148,564; s1p1|Data|566,811; s1p1|Data|813,1252"
"(0, 72)",s1p2,"On the other hand, believing with our eyes is also judging with our eyes.","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|0,70","s1p1|Primary_Claim|72,146","Primary_Claim (0, 72)",2,"s1p1|Final_Claim|0,70","s1p3|Primary_Claim|0,149","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|0,70","s1p1|Primary_Claim|72,146"
"(74, 494)",s1p2,When we see new people we tend to judge them on their appearance before actually getting to know the person. The way people dress or style their hair can be linked to their personality or how that person is living. These can be pushing factors for someone to want to engage with this person or walk away from them. This can lead to people being discouraged to become friends with another because of their first impression,"Data (74, 494)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|903,1235; s1p3|Data|0,529","Data (74, 1235)",-,"s1p2|Primary_Claim|0,72",-,"Data (74, 494)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|903,1235; s1p3|Data|0,529"
"(497, 901)",s1p2,Impressions can go a long way as well. We often hear that the first impression is the most important because it is what people will remember you as for as long as they know you. The first impression you make on someone can be a lasting one. I think that this is true because a person can change and reform themselves many times but can still be remembered for that slip up they had many years in the past.,"Data (497, 901)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|74,494; s1p2|Data|903,1235; s1p3|Data|0,529","Data (74, 1235)",-,"s1p2|Primary_Claim|0,72",-,"Data (497, 901)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|74,494; s1p2|Data|903,1235; s1p3|Data|0,529"
"(903, 1235)",s1p2,"For example, if you are working in a group with an individual who is basically free riding or not giving any vital input, you most likely will never want to work with this person again. This person could become the person with the best grade in the class but it is probable that you'll always remember them as the group's free-rider.","Data (903, 1235)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p3|Data|0,529","Data (74, 1235)",-,"s1p2|Primary_Claim|0,72",-,"Data (903, 1235)",3,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p3|Data|0,529"
"(0, 149)",s1p3,"Consequently, there could be possibilities where you can change their perception of you but there will always be that first time stuck in their heads.","Data (0, 529)",2,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p2|Data|903,1235","Primary_Claim (0, 149)",3,"s1p1|Final_Claim|0,70","s1p2|Primary_Claim|0,72","Data (0, 529)",2,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p2|Data|903,1235"
"(151, 529)",s1p3,"This is a clear example of people with felonies on their record. When applying for work, the employers see that they are ex-convicts and automatically assume the worst. When in actuality, this person could be locked up because of unpaid fines because they didn't have a job. This will hinder the employer's perception of this individual when he could actually have what they are.","Data (0, 529)",2,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p2|Data|903,1235","Data (151, 529)",2,"s1p3|Primary_Claim|0,149",-,"Data (0, 529)",2,"s1p2|Primary_Claim|0,72","s1p2|Data|497,901; s1p2|Data|74,494; s1p2|Data|903,1235"
