discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 146)",s1p1,"The society nowadays is debating the issue of whether being competitive is good or bad. In others' opinions, some argue that cooperation is better.","Lead (0, 146)",3,"s1p1|Final_Claim|148,301",-,"Nonannotated (0, 201)",-,-,-,"Nonannotated (0, 146)",-,-,-
"(148, 201)",s1p1,Neither both sides have absolute convincing arguments.,"Final_Claim (148, 301)",2,-,-,"Nonannotated (0, 201)",-,-,-,"Final_Claim (148, 301)",2,-,-
"(203, 301)",s1p1,"However, competitions exist everywhere, and it belongs to the evolution of every species or beings.","Final_Claim (148, 301)",2,-,-,"Final_Claim (203, 301)",2,-,-,"Final_Claim (148, 301)",2,-,-
"(0, 72)",s1p2,"First of all, competitions demonstrate explicit way to survive in nature.","Data (0, 336)",3,"s1p2|Primary_Claim|480,540","s1p2|Data|338,478","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|203,301","s1p3|Primary_Claim|0,76","Data (0, 336)",3,"s1p2|Primary_Claim|480,540","s1p2|Data|338,478"
"(74, 336)",s1p2,"The bigger and the stronger the animal is, the more powerful and invincible it will be. For example, everyone know that lions are the king of the nature because of its strength, so every beings surrounding lions have to be humble for their own safety environment.","Data (0, 336)",3,"s1p2|Primary_Claim|480,540","s1p2|Data|338,478","Data (74, 540)",3,"s1p2|Primary_Claim|0,72",-,"Data (0, 336)",3,"s1p2|Primary_Claim|480,540","s1p2|Data|338,478"
"(338, 478)",s1p2,"Also, human get this intelligence because we think about the way to make the most food, to be strongest, to have abundance in our properties.","Data (338, 478)",2,"s1p2|Primary_Claim|480,540","s1p2|Data|0,336","Data (74, 540)",3,"s1p2|Primary_Claim|0,72",-,"Data (338, 478)",2,"s1p2|Primary_Claim|480,540","s1p2|Data|0,336"
"(480, 540)",s1p2,"Therefore, competition is the most important thing in nature.","Primary_Claim (480, 540)",2,"s1p1|Final_Claim|148,301","s1p3|Primary_Claim|442,516","Data (74, 540)",3,"s1p2|Primary_Claim|0,72",-,"Primary_Claim (480, 540)",2,"s1p1|Final_Claim|148,301","s1p3|Primary_Claim|442,516"
"(0, 76)",s1p3,"Even competition is irreplaceable, cooperation is essential for every beings.","Data (0, 285)",3,"s1p3|Primary_Claim|442,516","s1p3|Data|287,440","Primary_Claim (0, 76)",1,"s1p1|Final_Claim|203,301","s1p2|Primary_Claim|0,72","Data (0, 285)",3,"s1p3|Primary_Claim|442,516","s1p3|Data|287,440"
"(78, 285)",s1p3,Seeing how aunts can survive is the evidence of the cooperation power. The aunts community always stuck to each other for the most efficient way to find food. Being cooperative helps everything become easier.,"Data (0, 285)",3,"s1p3|Primary_Claim|442,516","s1p3|Data|287,440","Data (78, 516)",2,"s1p3|Primary_Claim|0,76",-,"Data (0, 285)",3,"s1p3|Primary_Claim|442,516","s1p3|Data|287,440"
"(287, 440)",s1p3,"The closest example is the cooperation in school. In school, the students who help each other out can have better grade than the others who are preserved.","Data (287, 440)",2,"s1p3|Primary_Claim|442,516","s1p3|Data|0,285","Data (78, 516)",2,"s1p3|Primary_Claim|0,76",-,"Data (287, 440)",2,"s1p3|Primary_Claim|442,516","s1p3|Data|0,285"
"(442, 516)",s1p3,"In some aspects, cooperation is also the good method of living and working.","Primary_Claim (442, 516)",2,"s1p1|Final_Claim|148,301","s1p2|Primary_Claim|480,540; s1p4|Concluding_Summary|0,314","Data (78, 516)",2,"s1p3|Primary_Claim|0,76",-,"Primary_Claim (442, 516)",2,"s1p1|Final_Claim|148,301","s1p2|Primary_Claim|480,540; s1p4|Concluding_Summary|0,314"
"(0, 314)",s1p4,"In conclusion, competitions are good in the ways that it will not make harm to others. Competition and cooperation must connect to each other in the way that will make the society better. No one can convince that whether competition or cooperation is better because they are parallel and cooperate with each aspect.","Concluding_Summary (0, 314)",2,"s1p1|Final_Claim|148,301","s1p3|Primary_Claim|442,516","Concluding_Summary (0, 314)",2,"s1p1|Final_Claim|203,301",-,"Concluding_Summary (0, 314)",2,"s1p1|Final_Claim|148,301","s1p3|Primary_Claim|442,516"
