discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 87)",s1p1,"In my opinion, cooperation is much more efficient and useful as compared to competition.","Final_Claim (0, 87)",3,-,-,"Final_Claim (0, 87)",3,-,-,"Final_Claim (0, 87)",3,-,-
"(89, 140)",s1p1,"As the saying goes, ""Two minds is greater than one.""","Primary_Claim (89, 140)",2,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1409; s1p1|Primary_Claim|721,788; s1p1|Primary_Claim|349,427","Data (89, 347)",3,"s1p1|Final_Claim|0,87",-,"Primary_Claim (89, 140)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1365"
"(142, 347)",s1p1,"With cooperation, you can have the minds of countless people all thinking together to reach or achieve a similar goal. Those people can bounce off each other's ideas and there would be more ideas ""created"".","Data (142, 347)",3,"s1p1|Final_Claim|0,87",-,"Data (89, 347)",3,"s1p1|Final_Claim|0,87",-,"Data (142, 347)",3,"s1p1|Primary_Claim|89,140","s1p1|Data|349,719; s1p1|Data|721,1182"
"(349, 427)",s1p1,Cooperation also allows for the participants to build and grow with each other.,"Primary_Claim (349, 427)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1409; s1p1|Primary_Claim|721,788; s1p1|Primary_Claim|89,140","Primary_Claim (349, 427)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1409; s1p1|Primary_Claim|721,788","Data (349, 719)",3,"s1p1|Primary_Claim|89,140","s1p1|Data|142,347; s1p1|Data|721,1182"
"(429, 719)",s1p1,"As ideas come and go, everyone would bring different perspectives and suggestions to the table, which can create a wealth of information that can be used. In the case of a mistake, you can always trust your teammates to catch and correct them, but that would not be the case for competition.","Data (429, 719)",2,"s1p1|Primary_Claim|349,427",-,"Data (429, 719)",2,"s1p1|Primary_Claim|349,427",-,"Data (349, 719)",3,"s1p1|Primary_Claim|89,140","s1p1|Data|142,347; s1p1|Data|721,1182"
"(721, 788)",s1p1,"Cooperation also allows for, up to a certain extent, specialization.","Primary_Claim (721, 788)",2,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1409; s1p1|Primary_Claim|349,427; s1p1|Primary_Claim|89,140","Primary_Claim (721, 788)",2,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|1184,1409; s1p1|Primary_Claim|349,427","Data (721, 1182)",3,"s1p1|Primary_Claim|89,140","s1p1|Data|142,347; s1p1|Data|349,719"
"(790, 1182)",s1p1,"You can often split the work for a big project into smaller chunks, and designate each chunk to a person or a group of people who are better in that field. This way, everyone's skills and abilities will be fully used. On the flip side, if it were competition, that one person or one group has to know how to do every single aspect of that project, and it makes the whole task more challenging.","Data (790, 1182)",3,"s1p1|Primary_Claim|721,788",-,"Data (790, 1182)",3,"s1p1|Primary_Claim|721,788",-,"Data (721, 1182)",3,"s1p1|Primary_Claim|89,140","s1p1|Data|142,347; s1p1|Data|349,719"
"(1184, 1365)",s1p1,"With competition, however, every person is only trying to think of a potential solution with one mind, and attempting to be the fastest or the first to come up with a viable outcome.","Primary_Claim (1184, 1409)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|349,427; s1p1|Primary_Claim|721,788; s1p1|Primary_Claim|89,140","Primary_Claim (1184, 1409)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|349,427; s1p1|Primary_Claim|721,788","Primary_Claim (1184, 1365)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|89,140"
"(1367, 1409)",s1p1,There are many problems with this approach.,"Primary_Claim (1184, 1409)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|349,427; s1p1|Primary_Claim|721,788; s1p1|Primary_Claim|89,140","Primary_Claim (1184, 1409)",3,"s1p1|Final_Claim|0,87","s1p1|Primary_Claim|349,427; s1p1|Primary_Claim|721,788","Data (1367, 1551)",3,"s1p1|Primary_Claim|1184,1365","s1p1|Data|1553,1786; s1p1|Data|1788,1940"
"(1411, 1551)",s1p1,"First, it is hard to come up with brand new ideas from scratch without any help or input from others to help speed up the brainstorm process.","Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1367, 1551)",3,"s1p1|Primary_Claim|1184,1365","s1p1|Data|1553,1786; s1p1|Data|1788,1940"
"(1553, 1786)",s1p1,"Second of all, if everyone is rushing to compete with each other, sometimes solution would not be as good as they could have been, as the person would want to make it known as soon as possible and not think of more ways to improve it.","Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1553, 1786)",2,"s1p1|Primary_Claim|1184,1365","s1p1|Data|1367,1551; s1p1|Data|1788,1940"
"(1788, 1940)",s1p1,"Last but not least, as I mentioned before, it is the mistakes that we make. Catching others' mistakes is easy, but catching your own is not as easy task.","Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1411, 1940)",3,"s1p1|Primary_Claim|1184,1409",-,"Data (1788, 1940)",2,"s1p1|Primary_Claim|1184,1365","s1p1|Data|1367,1551; s1p1|Data|1553,1786"
