discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 75)",s1p1,It is true that images and impressions have too much of an effect on people.,"Final_Claim (0, 75)",2,-,-,"Final_Claim (0, 75)",2,-,-,"Final_Claim (0, 75)",2,-,-
"(77, 156)",s1p1,People these days looks at the outward appearance to judge what's on the inside.,"Primary_Claim (77, 156)",3,"s1p1|Final_Claim|0,75","s1p2|Primary_Claim|0,80","Nonannotated (77, 387)",-,-,-,"Primary_Claim (77, 156)",3,"s1p1|Final_Claim|0,75","s1p2|Primary_Claim|0,80"
"(158, 387)",s1p1,"Despite the fact which says ""Don't judge a book by its cover"", many people still judge by what they see on the outside. Of-cause, the saying is popular and those who support it are also guilty of judging by the outward appearance.","Data (158, 996)",3,"s1p1|Primary_Claim|77,156",-,"Nonannotated (77, 387)",-,-,-,"Data (158, 690)",3,"s1p1|Primary_Claim|77,156","s1p1|Data|692,996"
"(389, 690)",s1p1,"My father argues that it is irrelevant to argue that ""don't judge a book by it's cover. ""But a cover tells you what's on the inside"", he says. People like him also argue that, when shopping, you don't want to waste time trying to see whether the materials are as good as they appear to be on the cover.","Data (158, 996)",3,"s1p1|Primary_Claim|77,156",-,"Counterclaim (389, 774)",3,"s1p1|Final_Claim|0,75","s1p2|Primary_Claim|0,80","Data (158, 690)",3,"s1p1|Primary_Claim|77,156","s1p1|Data|692,996"
"(692, 774)",s1p1,In politics they also argue that how you dress yourself shows how your mind is set.,"Data (158, 996)",3,"s1p1|Primary_Claim|77,156",-,"Counterclaim (389, 774)",3,"s1p1|Final_Claim|0,75","s1p2|Primary_Claim|0,80","Data (692, 996)",3,"s1p1|Primary_Claim|77,156","s1p1|Data|158,690"
"(776, 996)",s1p1,"This can be very true at times, but sometimes we get caught up with the outside appearance that we forget to dig deeper. It is when one has dug deeper into something, that they see the true nature of something or someone.","Data (158, 996)",3,"s1p1|Primary_Claim|77,156",-,"Rebuttal (776, 996)",3,"s1p1|Counterclaim|389,774",-,"Data (692, 996)",3,"s1p1|Primary_Claim|77,156","s1p1|Data|158,690"
"(0, 80)",s1p2,Most products that are being sold these days are not what they appear to be like.,"Primary_Claim (0, 80)",2,"s1p1|Final_Claim|0,75","s1p1|Primary_Claim|77,156","Primary_Claim (0, 80)",2,"s1p1|Final_Claim|0,75","s1p1|Counterclaim|389,774","Primary_Claim (0, 80)",3,"s1p1|Final_Claim|0,75","s1p1|Primary_Claim|77,156"
"(82, 382)",s1p2,"For example, last Saturday, I ordered a pair of jeans online. On a picture, they appeared to be of great quality, but once I got a hold of them, they were just not worth it. This shows us that, we must not judge by the outward appearance. The effect created by images and impressions is just too much.","Data (82, 382)",3,"s1p2|Primary_Claim|0,80","s1p2|Data|384,696","Data (82, 696)",3,"s1p2|Primary_Claim|0,80",-,"Data (82, 382)",3,"s1p2|Primary_Claim|0,80","s1p2|Data|384,696"
"(384, 696)",s1p2,"We get attracted to the way someone appears, on televisions as well. Most people get hired as television hosts because of their outward structure, the way they dress and their good looks, while neglecting the ones who are more intelligent, but yet, lesser beautiful. This lowers the standards of our intelligence.","Data (384, 696)",3,"s1p2|Primary_Claim|0,80","s1p2|Data|82,382","Data (82, 696)",3,"s1p2|Primary_Claim|0,80",-,"Data (384, 696)",3,"s1p2|Primary_Claim|0,80","s1p2|Data|82,382"
"(698, 951)",s1p2,"Of all the things we value, appearance should be the last thing to be considered on the television, entertainment, and politics. Even though appearance is of some important, it should not be our first priority, because the content is much more important.","Concluding_Summary (698, 951)",3,"s1p1|Final_Claim|0,75",-,"Concluding_Summary (698, 951)",3,"s1p1|Final_Claim|0,75",-,"Concluding_Summary (698, 951)",3,"s1p1|Final_Claim|0,75",-
