discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 156)",s1p1,"First of all, some philosophers tend to argue that Human being are attracted by what they found attractive, what they want to reproduce, what they aspire to.","Nonannotated (0, 156)",-,-,-,"Nonannotated (0, 156)",-,-,-,"Nonannotated (0, 224)",-,-,-
"(158, 224)",s1p1,"Thus, images and impressions can have a significant impact on them.","Final_Claim (158, 224)",2,-,-,"Final_Claim (158, 224)",2,-,-,"Nonannotated (0, 224)",-,-,-
"(226, 342)",s1p1,"Indeed, these are the first thing people see, and it often determines the following proceedings of certain decisions.","Nonannotated (226, 342)",-,-,-,"Nonannotated (226, 342)",-,-,-,"Primary_Claim (226, 342)",3,"s1p4|Final_Claim|0,108","s1p2|Primary_Claim|0,73; s1p3|Primary_Claim|0,177"
"(344, 559)",s1p1,"For instance, regarding the commercial field, if a shampoo smells good, or its packaging is colorful and attractive, the consumer will be more likely to buy it even though he ignores its components or even its price.","Data (344, 559)",3,"s1p1|Final_Claim|158,224","s1p2|Data|0,371; s1p3|Data|0,385; s1p4|Data|0,533","Data (344, 559)",3,"s1p1|Final_Claim|158,224","s1p2|Data|0,371; s1p3|Data|0,385; s1p4|Data|0,533","Data (344, 558)",3,"s1p1|Primary_Claim|226,342",-
"(0, 73)",s1p2,"Moreover, is it possible to use the same reasoning in the political field:","Data (0, 371)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p3|Data|0,385; s1p4|Data|0,533","Data (0, 371)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p3|Data|0,385; s1p4|Data|0,533","Primary_Claim (0, 73)",3,"s1p4|Final_Claim|0,108","s1p1|Primary_Claim|226,342; s1p3|Primary_Claim|0,177"
"(75, 371)",s1p2,"charismatic leaders, who feel comfortable and at ease with public speech, are more likely to catch people's attention and be elected even though their genuine opinions and interests are not advantageous for the electoral college. How could we explain this absolute attraction and impact of images?","Data (0, 371)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p3|Data|0,385; s1p4|Data|0,533","Data (0, 371)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p3|Data|0,385; s1p4|Data|0,533","Data (75, 371)",3,"s1p2|Primary_Claim|0,73",-
"(0, 177)",s1p3,A lot of explanations could be found with the increasing of new technologies and the burden imposed on people to always be in conformity with the so-called accepted social norms.,"Data (0, 385)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p4|Data|0,533","Data (0, 385)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p4|Data|0,533","Primary_Claim (0, 177)",3,"s1p4|Final_Claim|0,108","s1p1|Primary_Claim|226,342; s1p2|Primary_Claim|0,73"
"(179, 386)",s1p3,"In other words, people do not try to differentiate themselves in some cases but try to be accepted. Therefore, they do not look in depth what they see but only aspire to imitate it, such as a kind of mimetic.","Data (0, 385)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p4|Data|0,533","Data (0, 385)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p4|Data|0,533","Data (179, 386)",3,"s1p3|Primary_Claim|0,177",-
"(0, 108)",s1p4,"Thus, images and impressions do have too much of an effect on people and this can even be a potential danger:","Data (0, 533)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p3|Data|0,385","Data (0, 533)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p3|Data|0,385","Final_Claim (0, 108)",3,-,-
"(110, 533)",s1p4,"lack of aspiration, uniformity, depression, isolation. Indeed, if superficiality overweighs reality, what is the point of being human? Images and impressions only create a superficial world, when people can feel excluded from, and are just an undercover tool to hide real issues, and concerns. People have to overcome these impressions by creating their own opinions, being aware of what they buy, of who they vote for, etc.","Data (0, 533)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p3|Data|0,385","Data (0, 533)",3,"s1p1|Final_Claim|158,224","s1p1|Data|344,559; s1p2|Data|0,371; s1p3|Data|0,385","Data (110, 533)",3,"s1p4|Final_Claim|0,108",-
"(0, 202)",s1p5,"To conclude, the statement 'what we think we see becomes far more important than what really is' is unfortunately true in our modern society and is an issue that human being have to face to and overcome.","Concluding_Summary (0, 202)",3,"s1p1|Final_Claim|158,224",-,"Concluding_Summary (0, 202)",3,"s1p1|Final_Claim|158,224",-,"Concluding_Summary (0, 202)",2,"s1p4|Final_Claim|0,108",-
