discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 62)",s1p1,Images and impressions do have too much of an effect on people.,"Final_Claim (0, 62)",2,-,-,"Final_Claim (0, 62)",2,-,-,"Final_Claim (0, 62)",3,-,-
"(64, 145)",s1p1,"Certain products are promoted to ""help"" people achieve the look they wish to have.","Nonannotated (64, 145)",-,-,-,"Nonannotated (64, 145)",-,-,-,"Primary_Claim (64, 145)",3,"s1p1|Final_Claim|0,62","s1p2|Primary_Claim|0,128"
"(147, 250)",s1p1,Women especially are affected by the marketing tactics and advertisements of beauty companies' products.,"Primary_Claim (147, 250)",3,"s1p1|Final_Claim|0,62","s1p2|Primary_Claim|0,70","Primary_Claim (147, 250)",3,"s1p1|Final_Claim|0,62","s1p2|Primary_Claim|0,70","Data (147, 650)",3,"s1p1|Primary_Claim|64,145","s1p1|Data|652,1071"
"(252, 650)",s1p1,"These beauty companies are trying to promote a specific image and/ or body type so that women buy their products. For example, Victoria's Secret uses tall, long-legged, skinny models to promote their lingerie and underwear. When women see this, they think ""that could be me."" Besides it being an impossible idea, women still fall into the traps that companies like Victoria's Secret set up for them.","Data (252, 1071)",3,"s1p1|Primary_Claim|147,250",-,"Data (252, 1071)",3,"s1p1|Primary_Claim|147,250",-,"Data (147, 650)",3,"s1p1|Primary_Claim|64,145","s1p1|Data|652,1071"
"(652, 1071)",s1p1,"Another way that women are enticed to buy certain products is that they are told that a product is specifically designed for women. Razors are sold in pink packages. Shaving cream is made to produce super soft skin. Sanitary wipes are ""pH balanced."" A facial cream targets those ""hard-to-reach babyhairs."" Companies use their marketing techniques to appeal to the insecurities and dislikes that women have of themselves.","Data (252, 1071)",3,"s1p1|Primary_Claim|147,250",-,"Data (252, 1071)",3,"s1p1|Primary_Claim|147,250",-,"Data (652, 1071)",3,"s1p1|Primary_Claim|64,145","s1p1|Data|147,650"
"(0, 70)",s1p2,"On another note, men are much too often taken to be the smarter gender.","Primary_Claim (0, 70)",2,"s1p1|Final_Claim|0,62","s1p1|Primary_Claim|147,250","Primary_Claim (0, 70)",2,"s1p1|Final_Claim|0,62","s1p1|Primary_Claim|147,250","Primary_Claim (0, 128)",3,"s1p1|Final_Claim|0,62","s1p1|Primary_Claim|64,145"
"(72, 128)",s1p2,"Women are not fit to lead because we are too ""emotional.""","Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Primary_Claim (0, 128)",3,"s1p1|Final_Claim|0,62","s1p1|Primary_Claim|64,145"
"(130, 504)",s1p2,"When a man is being considered for a position, it is taken into account whether he is authoritative enough or masculine enough. Women are often overlooked because they are thought to eventually want kids, or they seem too soft. Society has placed an impression on people that a leader/boss should not be emotional or sympathetic. A boss is supposed to be strict and powerful.","Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Data (130, 504)",3,"s1p2|Primary_Claim|0,128","s1p2|Data|506,1111"
"(506, 1111)",s1p2,"We can take the election between Trump and Hillary Clinton into consideration. American's who voted for Trump love to say that they only voted for him because he ""says it like it is"" and because they didn't want another puppet in power. The reality is that most people do not believe a woman is ""man enough"" to run a country. They believe that a woman's emotions are too irrational for her to be in charge of diplomatic relations, which is hilariously ironic. American's chose a TV personality to run the country instead of the individual who has decades of practice working with politicians and lobbyists.","Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Data (72, 1111)",1,"s1p2|Primary_Claim|0,70",-,"Data (506, 1111)",3,"s1p2|Primary_Claim|0,128","s1p2|Data|130,504"
"(0, 518)",s1p3,"People do not like to admit that they are easily influenced. In reality, however, people take the images that society plants in their minds and make their decisions based on those images or ideas. Women still fall into the trap to buy push-up bras and the razors with the pink handles that are made just for them. Men and women still consider the emotional aspects of women when deciding on who should get a promotion or who should be elected. So yes, images and impressions play a much larger role than one may expect.","Concluding_Summary (0, 518)",3,"s1p1|Final_Claim|0,62",-,"Concluding_Summary (0, 518)",3,"s1p1|Final_Claim|0,62",-,"Concluding_Summary (0, 518)",3,"s1p1|Final_Claim|0,62",-
