discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 187)",s1p1,"Currently, most people involved in the cooperative activities. Cooperative could bring various kinds of success rather than competition, like friends, a friendly work environment, profits.","Lead (0, 187)",3,"s1p1|Final_Claim|189,279",-,"Nonannotated (0, 187)",-,-,-,"Nonannotated (0, 187)",-,-,-
"(189, 279)",s1p1,"Personally speaking, I persist cooperation is a comfortable way of doing well in the world.","Final_Claim (189, 279)",3,-,-,"Final_Claim (189, 279)",3,-,-,"Final_Claim (189, 279)",3,-,-
"(0, 93)",s1p2,"Cooperation could bring us many leadership skills, like arranging works, communication skills.","Primary_Claim (0, 93)",3,"s1p1|Final_Claim|189,279","s1p3|Primary_Claim|0,37; s1p4|Counterclaim|0,47","Primary_Claim (0, 93)",3,"s1p1|Final_Claim|189,279","s1p3|Primary_Claim|0,37; s1p4|Primary_Claim|0,156","Primary_Claim (0, 93)",3,"s1p1|Final_Claim|189,279","s1p3|Primary_Claim|0,37; s1p4|Counterclaim|0,47"
"(95, 190)",s1p2,"For example, college students have to complete a project that couldn't be finished individually.","Data (95, 612)",3,"s1p2|Primary_Claim|0,93","s1p2|Data|192,298; s1p2|Data|300,612","Data (95, 612)",3,"s1p2|Primary_Claim|0,93",-,"Data (95, 190)",2,"s1p2|Primary_Claim|0,93","s1p2|Data|192,298; s1p2|Data|300,612"
"(192, 298)",s1p2,Students have to find partners and communicate with teammates to find appropriate jobs for each individual.,"Data (95, 612)",3,"s1p2|Primary_Claim|0,93","s1p2|Data|300,612; s1p2|Data|95,190","Data (95, 612)",3,"s1p2|Primary_Claim|0,93",-,"Data (192, 298)",2,"s1p2|Primary_Claim|0,93","s1p2|Data|300,612; s1p2|Data|95,190"
"(300, 612)",s1p2,"During the process, communicating is a way to find solutions for the problem and expand horizon. Cooperation can also bring as leadership skills, like arranging and making up decisions. When two choices faced, especially dilemma, leader has to make up mind to find the way to direct teammates to achieve the goal.","Data (95, 612)",3,"s1p2|Primary_Claim|0,93","s1p2|Data|192,298; s1p2|Data|95,190","Data (95, 612)",3,"s1p2|Primary_Claim|0,93",-,"Data (300, 612)",3,"s1p2|Primary_Claim|0,93","s1p2|Data|192,298; s1p2|Data|95,190"
"(0, 37)",s1p3,Cooperation can also bring us friends.,"Primary_Claim (0, 37)",2,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p4|Counterclaim|0,47","Primary_Claim (0, 37)",2,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p4|Primary_Claim|0,156","Primary_Claim (0, 37)",3,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p4|Counterclaim|0,47"
"(39, 565)",s1p3,"For example, we have to talk and communicate with people who we haven't known before. Therefore, we have some ways to learn them and they could probably have similar interests with us and they are more willing to help us and we can both get benefits. During communication, both sides devote themselves to working out, it would make each side of people feel satisfied. Satisfaction is the catalyst for the development of friendship. During the process, we can learn many things from former unknown people. It is also meaningful.","Data (39, 565)",3,"s1p3|Primary_Claim|0,37",-,"Data (39, 565)",3,"s1p3|Primary_Claim|0,37",-,"Data (39, 565)",3,"s1p3|Primary_Claim|0,37",-
"(0, 47)",s1p4,"Admittedly, competition is a way to get success.","Counterclaim (0, 47)",3,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p3|Primary_Claim|0,37","Primary_Claim (0, 156)",3,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p3|Primary_Claim|0,37","Counterclaim (0, 47)",3,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p3|Primary_Claim|0,37"
"(49, 156)",s1p4,"However, too much competition will make everyone have too much pressure and will probably distort character;","Rebuttal (49, 229)",3,"s1p4|Counterclaim|0,47",-,"Primary_Claim (0, 156)",3,"s1p1|Final_Claim|189,279","s1p2|Primary_Claim|0,93; s1p3|Primary_Claim|0,37","Rebuttal (49, 229)",3,"s1p4|Counterclaim|0,47",-
"(158, 229)",s1p4,"it might makes people less pathamy and be more callous, just for profit.","Rebuttal (49, 229)",3,"s1p4|Counterclaim|0,47",-,"Data (158, 558)",3,"s1p4|Primary_Claim|0,156",-,"Rebuttal (49, 229)",3,"s1p4|Counterclaim|0,47",-
"(231, 558)",s1p4,"Plus, there are many serious problems that can be solved only by cooperation, like environment problems. It is a global problem, and it becomes more involved as the globalization. Different countries joint together to make high-technology products to reduce pollution, and create a healthier living environment for human beings.","Data (231, 558)",3,"s1p4|Rebuttal|49,229",-,"Data (158, 558)",3,"s1p4|Primary_Claim|0,156",-,"Data (231, 558)",2,"s1p4|Rebuttal|49,229",-
"(0, 272)",s1p5,"Base on the above illustrated, I think cooperative is an efficient way to develop and get successes. It can't be denied that cooperation is co-existed with competition. We have to develop ourselves throng ""competition while cooperation"" and ""cooperation while competition"".","Concluding_Summary (0, 272)",2,"s1p1|Final_Claim|189,279",-,"Concluding_Summary (0, 272)",2,"s1p1|Final_Claim|189,279",-,"Concluding_Summary (0, 272)",2,"s1p1|Final_Claim|189,279",-
