discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 179)",s1p1,"Cooperation is a quality most children start to develop in preschool. It is important because, most of the time, it is easier to achieve a result in a team rather than by yourself.","Lead (0, 608)",3,"s1p2|Final_Claim|0,62",-,"Nonannotated (0, 179)",-,-,-,"Nonannotated (0, 608)",-,-,-
"(181, 516)",s1p1,"It can be learnt though building teams while playing board games, cooking together, or by participating in a team sport, such as volleyball or football. At the same time, one learns how to solve problems and agree on compromises because different opinions are frequent when people from different backgrounds and mind-sets work together.","Lead (0, 608)",3,"s1p2|Final_Claim|0,62",-,"Data (181, 516)",2,-,-,"Nonannotated (0, 608)",-,-,-
"(518, 608)",s1p1,"Therefore, team projects in schools are very popular, as well as campaigns for team spirit.","Lead (0, 608)",3,"s1p2|Final_Claim|0,62",-,"Primary_Claim (518, 608)",1,"s1p2|Final_Claim|0,62","s1p2|Primary_Claim|513,678; s1p2|Primary_Claim|64,194","Nonannotated (0, 608)",-,-,-
"(0, 62)",s1p2,"Nevertheless, in my opinion, competition achieves more success.","Final_Claim (0, 62)",2,-,-,"Final_Claim (0, 62)",2,-,-,"Final_Claim (0, 62)",2,-,-
"(64, 194)",s1p2,"Human beings have always been competitive, and thinking back to the past, the word's biggest heroes have been single personalities.","Primary_Claim (64, 194)",3,"s1p2|Final_Claim|0,62","s1p2|Primary_Claim|513,678","Primary_Claim (64, 194)",3,"s1p2|Final_Claim|0,62","s1p1|Primary_Claim|518,608; s1p2|Primary_Claim|513,678","Primary_Claim (64, 194)",3,"s1p2|Final_Claim|0,62","s1p2|Primary_Claim|513,678"
"(196, 402)",s1p2,"For instance, Caesar stands out as the leader of the Roman Empire not because he worked together with people, but because he focused on himself and how to achieve goals important for his life and well-being.","Data (196, 402)",3,"s1p2|Primary_Claim|64,194","s1p2|Data|404,511","Data (196, 511)",3,"s1p2|Primary_Claim|64,194",-,"Data (196, 402)",3,"s1p2|Primary_Claim|64,194","s1p2|Data|404,511"
"(404, 511)",s1p2,"Another example are singers who started solo careers instead of staying in bands, such as Justin Timberlake.","Data (404, 511)",2,"s1p2|Primary_Claim|64,194","s1p2|Data|196,402","Data (196, 511)",3,"s1p2|Primary_Claim|64,194",-,"Data (404, 511)",2,"s1p2|Primary_Claim|64,194","s1p2|Data|196,402"
"(513, 678)",s1p2,Sometimes it is necessary to focus on one's individual skills. Competition drives you to get better at what you do because no one wants to be 'the last' at something.,"Primary_Claim (513, 678)",3,"s1p2|Final_Claim|0,62","s1p2|Primary_Claim|64,194","Primary_Claim (513, 678)",3,"s1p2|Final_Claim|0,62","s1p1|Primary_Claim|518,608; s1p2|Primary_Claim|64,194","Primary_Claim (513, 678)",3,"s1p2|Final_Claim|0,62","s1p2|Primary_Claim|64,194"
"(680, 883)",s1p2,"I realized this in physical education in tenth grade, when we had to sprint half a mile. The classmates who had to run against each other were generally faster than the ones running the task on their own.","Data (680, 883)",2,"s1p2|Primary_Claim|513,678","s1p2|Data|885,1302","Data (680, 1302)",3,"s1p2|Primary_Claim|513,678",-,"Data (680, 883)",2,"s1p2|Primary_Claim|513,678","s1p2|Data|885,1302"
"(885, 1302)",s1p2,"If one looks around in the city, one will notice that, for example, coffee shops of different chains are often positioned directly next to one another, due to competitive reasons. If you don't rely on another person, all the responsibility, meaning how good or bad something is, depends only on yourself. There won't be a person gaining the success for the work you did, because there will not be anyone self than you.","Data (885, 1302)",2,"s1p2|Primary_Claim|513,678","s1p2|Data|680,883","Data (680, 1302)",3,"s1p2|Primary_Claim|513,678",-,"Data (885, 1302)",2,"s1p2|Primary_Claim|513,678","s1p2|Data|680,883"
