discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 131)",s1p1,"In the recent times, there have been a lot of discussions about whether images and impressions have too much of an effect on people.","Lead (0, 131)",3,"s1p1|Final_Claim|133,255",-,"Nonannotated (0, 131)",-,-,-,"Nonannotated (0, 187)",-,-,-
"(133, 187)",s1p1,"Though, this topic has caused divisions among scholars,","Final_Claim (133, 255)",2,-,-,"Final_Claim (133, 255)",2,-,-,"Nonannotated (0, 187)",-,-,-
"(189, 255)",s1p1,I believe that images and impressions have a huge impact on people.,"Final_Claim (133, 255)",2,-,-,"Final_Claim (133, 255)",2,-,-,"Final_Claim (189, 255)",2,-,-
"(257, 404)",s1p1,"Among the reasons why images and impressions have an influence on people, one can cite the power of images and the idea that images actually convey.","Nonannotated (257, 404)",-,-,-,"Nonannotated (257, 404)",-,-,-,"Nonannotated (257, 404)",-,-,-
"(0, 70)",s1p2,Images have a power that influence our perceptions of things around us.,"Primary_Claim (0, 70)",3,"s1p1|Final_Claim|133,255","s1p3|Primary_Claim|0,72","Primary_Claim (0, 70)",3,"s1p1|Final_Claim|133,255","s1p3|Primary_Claim|0,72","Primary_Claim (0, 70)",3,"s1p1|Final_Claim|189,255","s1p3|Primary_Claim|0,72"
"(72, 476)",s1p2,"It is often said that a picture is worth more than a thousand words and that is also true for images. We are in a digital era and our brains are constantly expose to images for these reasons, images have become the very foremost element that people look at whether they want to learn about a person or something else. Images have actually determined our impressions and our feeling about things around us.","Data (72, 675)",2,"s1p2|Primary_Claim|0,70",-,"Data (72, 675)",2,"s1p2|Primary_Claim|0,70",-,"Data (72, 476)",3,"s1p2|Primary_Claim|0,70","s1p2|Data|478,675"
"(478, 675)",s1p2,"For example, a good image on a advertisement spot can make us crave for and buy something we would not have bought otherwise. That is why marketers are really tedious about the images they articles.","Data (72, 675)",2,"s1p2|Primary_Claim|0,70",-,"Data (72, 675)",2,"s1p2|Primary_Claim|0,70",-,"Data (478, 675)",3,"s1p2|Primary_Claim|0,70","s1p2|Data|72,476"
"(0, 72)",s1p3,"Not only do images have power, but they also carry ideas and suggestions.","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|133,255","s1p2|Primary_Claim|0,70","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|133,255","s1p2|Primary_Claim|0,70","Primary_Claim (0, 72)",3,"s1p1|Final_Claim|189,255","s1p2|Primary_Claim|0,70"
"(74, 184)",s1p3,Those ideas definitely influence our choices and determine our very impressions about products or items we see.,"Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (74, 184)",3,"s1p3|Primary_Claim|0,72","s1p3|Data|186,365; s1p3|Data|367,552"
"(186, 365)",s1p3,"For example, an image of famous basketball player drinking delightfully a certain drink may make think that if I want to be like that basketball player I must drink the same drink.","Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (186, 365)",3,"s1p3|Primary_Claim|0,72","s1p3|Data|367,552; s1p3|Data|74,184"
"(367, 552)",s1p3,"Also, an image of a desperate cat can give the impression that cats are in danger and something has to be done about that. For those reasons, images have non negligible impact on people.","Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (74, 552)",3,"s1p3|Primary_Claim|0,72",-,"Data (367, 552)",3,"s1p3|Primary_Claim|0,72","s1p3|Data|186,365; s1p3|Data|74,184"
"(0, 240)",s1p4,"It is true that to topic on images and impressions effects on people is a subject of division among intellectuals, but it cannot the gainsaid the fact that images and impression have power and also carry ideas which somehow influence people.","Concluding_Summary (0, 240)",3,"s1p1|Final_Claim|133,255",-,"Concluding_Summary (0, 240)",3,"s1p1|Final_Claim|133,255",-,"Concluding_Summary (0, 240)",2,"s1p1|Final_Claim|189,255",-
