discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 334)",s1p1,"Throughout history, humans have excelled while being in an intense competition with other humans, but have also done particularly well when co-operating with one another. Humans are complex beings. Due to our complex nature, the attainment of success is quite complex as well. Achieving success isn't as straightforward as it may seem.","Lead (0, 334)",3,"s1p1|Final_Claim|336,497",-,"Nonannotated (0, 334)",-,-,-,"Nonannotated (0, 334)",-,-,-
"(336, 497)",s1p1,"Co-operation and competition are both superior to each other in the achievement of success, depending on the particular situation and they type of success wanted.","Final_Claim (336, 497)",3,-,-,"Final_Claim (336, 497)",3,-,-,"Final_Claim (336, 497)",3,-,-
"(0, 149)",s1p2,"Many a times, success is measured by reaching a particular goal. In this race to reach a particular goal, competition is a superior method to be used.","Primary_Claim (0, 149)",3,"s1p1|Final_Claim|336,497","s1p3|Primary_Claim|0,208","Primary_Claim (0, 149)",3,"s1p1|Final_Claim|336,497","s1p3|Primary_Claim|0,208","Primary_Claim (0, 149)",3,"s1p1|Final_Claim|336,497","s1p3|Primary_Claim|0,155"
"(151, 383)",s1p2,"If one were to run a race alone and if one were to run a race with other individuals, a better time would always be recorded when one is competing with others. This is due to the simple motivation one gets when competing with others.","Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (151, 383)",3,"s1p2|Primary_Claim|0,149","s1p2|Data|385,472; s1p2|Data|474,695"
"(385, 472)",s1p2,Many a times success is measured in how quickly or efficiently someone can do something.,"Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (385, 472)",3,"s1p2|Primary_Claim|0,149","s1p2|Data|151,383; s1p2|Data|474,695"
"(474, 695)",s1p2,"For example, how fast can someone type, run, clean a room, stack blocks, reach the moon, or maybe even build something. At these times the competition within one another acts as a source of motivation and leads to success.","Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (151, 695)",2,"s1p2|Primary_Claim|0,149",-,"Data (474, 695)",3,"s1p2|Primary_Claim|0,149","s1p2|Data|151,383; s1p2|Data|385,472"
"(0, 155)",s1p3,"However, pretty often success is measured in another way. Sometimes getting the work done quickly isn't as important as the quality of the work that is done","Primary_Claim (0, 208)",3,"s1p1|Final_Claim|336,497","s1p2|Primary_Claim|0,149","Primary_Claim (0, 208)",3,"s1p1|Final_Claim|336,497","s1p2|Primary_Claim|0,149","Primary_Claim (0, 155)",3,"s1p1|Final_Claim|336,497","s1p2|Primary_Claim|0,149"
"(158, 208)",s1p3,"In this situation, success is a measure of quality.","Primary_Claim (0, 208)",3,"s1p1|Final_Claim|336,497","s1p2|Primary_Claim|0,149","Primary_Claim (0, 208)",3,"s1p1|Final_Claim|336,497","s1p2|Primary_Claim|0,149","Data (158, 445)",3,"s1p3|Primary_Claim|0,155","s1p3|Data|447,575; s1p3|Data|577,808"
"(210, 445)",s1p3,"In this case competition isn't as effective as co-operation. When different individuals co-operate with one another, they share their ideas with each other and together work better and more efficiently than they would have on their own.","Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (158, 445)",3,"s1p3|Primary_Claim|0,155","s1p3|Data|447,575; s1p3|Data|577,808"
"(447, 575)",s1p3,"For example, many scientific teams work together in order to tackle scientific problems which humans face in an efficient manner.","Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (447, 575)",2,"s1p3|Primary_Claim|0,155","s1p3|Data|158,445; s1p3|Data|577,808"
"(577, 808)",s1p3,"Furthermore, if an epidemic strikes a country, the pharmaceutical companies are more likely to attain success if they work together rather than compete with each other to get an appropriate medicine out which can treat the epidemic.","Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (210, 808)",3,"s1p3|Primary_Claim|0,208",-,"Data (577, 808)",3,"s1p3|Primary_Claim|0,155","s1p3|Data|158,445; s1p3|Data|447,575"
"(0, 285)",s1p4,"The complexity of success doesn't give a clear cut answer as to which method is better for attaining it. When success is to reach a particular goal, competition is a superior method. However, when the quality of the output of the goal matters, co-operation is a more effective strategy.","Concluding_Summary (0, 285)",3,"s1p1|Final_Claim|336,497",-,"Concluding_Summary (0, 285)",3,"s1p1|Final_Claim|336,497",-,"Concluding_Summary (0, 284)",3,"s1p1|Final_Claim|336,497",-
