discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 298)",s1p1,"In our culture and society, we are constantly competing for first place in the classroom, on the field, on the corporate ladder, and even within our social circles; however, is this the best way to actually achieve success? While we have been told that life is a race, it's actually more of a relay.","Lead (0, 298)",3,"s1p1|Final_Claim|300,410",-,"Nonannotated (0, 410)",-,-,-,"Nonannotated (0, 298)",-,-,-
"(300, 410)",s1p1,"People achieve more success by cooperation in their academic lives, their careers, and in their personal lives.","Final_Claim (300, 410)",3,-,-,"Nonannotated (0, 410)",-,-,-,"Final_Claim (300, 410)",3,-,-
"(412, 526)",s1p1,"Competition might be how we get in the door, but cooperation is how we expand our horizons and grow as individuals.","Nonannotated (412, 526)",-,-,-,"Final_Claim (412, 526)",3,-,-,"Nonannotated (412, 526)",-,-,-
"(0, 579)",s1p2,"The first lesson we were taught in kindergarten was to share. Everything was better together; food, toys, play time, and nap time. As we got older and grades were earned through merit, the environment turned more competitive. Competition for the highest test score and the best grades began to overshadow the communal spirit we were taught in kindergarten. But if you look close enough, the cooperative spirit never really left the classroom. Most people formed study groups, had group projects, and even gave the answers to the homework to the person that had forgotten to do it.","Data (0, 579)",3,"s1p2|Primary_Claim|581,634",-,"Data (0, 579)",2,"s1p2|Primary_Claim|581,634",-,"Data (0, 579)",3,"s1p2|Primary_Claim|581,634",-
"(581, 634)",s1p2,Cooperation was how we got through daily school tasks.,"Primary_Claim (581, 634)",3,"s1p1|Final_Claim|300,410","s1p3|Primary_Claim|339,477; s1p4|Primary_Claim|0,62","Primary_Claim (581, 634)",3,"s1p1|Final_Claim|412,526","s1p4|Primary_Claim|0,62","Primary_Claim (581, 634)",3,"s1p1|Final_Claim|300,410","s1p3|Primary_Claim|339,477; s1p4|Primary_Claim|0,62"
"(0, 337)",s1p3,"It seems like everybody has a college degree and studies show, that millennials are the most educated generation. The economy is definitely on the up so there are more opportunities than ten years ago. But still, there is a high saturation in the job market. That means college graduates face fierce competition in the professional world.","Data (0, 337)",2,"s1p3|Primary_Claim|339,477","s1p3|Data|479,761","Data (0, 761)",2,"s1p1|Final_Claim|412,526",-,"Data (0, 337)",2,"s1p3|Primary_Claim|339,477",-
"(339, 477)",s1p3,"Once the initial completion is over and a job is obtained, the most viable way to move up in the 'corporate ladder' is through cooperation.","Primary_Claim (339, 477)",2,"s1p1|Final_Claim|300,410","s1p2|Primary_Claim|581,634; s1p4|Primary_Claim|0,62","Data (0, 761)",2,"s1p1|Final_Claim|412,526",-,"Primary_Claim (339, 477)",2,"s1p1|Final_Claim|300,410","s1p2|Primary_Claim|581,634; s1p4|Primary_Claim|0,62"
"(479, 761)",s1p3,"It is better to get advice and counsel from a seasoned coworker or superior, and also to give knowledge, if you have it. This exchange of knowledge helps to make the everyday tasks easier and it also gives you credibility as someone willing to ask for help, and give help when asked.","Data (479, 761)",2,"s1p3|Primary_Claim|339,477","s1p3|Data|0,337","Data (0, 761)",2,"s1p1|Final_Claim|412,526",-,"Data (479, 761)",3,"s1p3|Primary_Claim|339,477",-
"(0, 62)",s1p4,"Finally, cooperation is the key to success on a personal level.","Primary_Claim (0, 62)",3,"s1p1|Final_Claim|300,410","s1p2|Primary_Claim|581,634; s1p3|Primary_Claim|339,477","Primary_Claim (0, 62)",3,"s1p1|Final_Claim|412,526","s1p2|Primary_Claim|581,634","Primary_Claim (0, 62)",3,"s1p1|Final_Claim|300,410","s1p2|Primary_Claim|581,634; s1p3|Primary_Claim|339,477"
"(64, 375)",s1p4,"Whether it is in a social circle of friends or in the intimacy of family, having a spirit of cooperation will help to foster healthier and stronger relationships. At the end of the day, you will also have peace of mind and a sense of accomplishment that attributes to feeling like you have led a successful life.","Data (64, 375)",2,"s1p4|Primary_Claim|0,62",-,"Data (64, 375)",2,"s1p4|Primary_Claim|0,62",-,"Data (64, 375)",3,"s1p4|Primary_Claim|0,62",-
"(0, 200)",s1p5,"Cooperation is the key to success in academia, professions, and in our personal lives. While at some points we will have to compete, keeping a spirit of cooperation will ensure success in the long run.","Concluding_Summary (0, 200)",3,"s1p1|Final_Claim|300,410",-,"Concluding_Summary (0, 200)",2,"s1p1|Final_Claim|412,526",-,"Concluding_Summary (0, 200)",3,"s1p1|Final_Claim|300,410",-
