discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 77)",s1p1,"Yes, I do believe that images and impressions have a lasting effect on people.","Final_Claim (0, 77)",2,-,-,"Final_Claim (0, 77)",2,-,-,"Final_Claim (0, 77)",2,-,-
"(79, 430)",s1p1,"It is said that the ""first impression is the last impression"". Psychology states that we do not see the world as it is, we only see that what we want to see. It is often said that life itself is not good or bad, but thinking makes it so. We make opinions about things based on what we interpret them to be, and our impressions play a pivotal role here.","Nonannotated (79, 430)",-,-,-,"Nonannotated (79, 430)",-,-,-,"Nonannotated (79, 430)",-,-,-
"(0, 119)",s1p2,"This aspect of the human mind is often targeted by several elements, including the media, advertisements, retailers etc.","Primary_Claim (0, 119)",3,"s1p1|Final_Claim|0,77","s1p3|Primary_Claim|0,82","Primary_Claim (0, 119)",2,"s1p1|Final_Claim|0,77","s1p3|Primary_Claim|0,82","Primary_Claim (0, 119)",3,"s1p1|Final_Claim|0,77","s1p3|Primary_Claim|0,82"
"(121, 531)",s1p2,"For instance, in the film industry, the manner of narration and introduction paints a few stars in a negative light while others in a positive one. If the narration is carried out successively, there have been several cases wherein the audience actually tends to believe a hero to be ""good"" and a villain to be ""evil"" even in the real life, which even the average Joe knows is worlds apart from the 'reel' life.","Data (121, 531)",3,"s1p2|Primary_Claim|0,119","s1p2|Data|533,711; s1p2|Data|713,893; s1p2|Data|895,1044","Data (121, 531)",2,-,-,"Data (121, 531)",3,"s1p2|Primary_Claim|0,119","s1p2|Data|533,711; s1p2|Data|713,893; s1p2|Data|895,1044"
"(533, 711)",s1p2,"Several times, we purchase a Colgate toothbrush (which is flaunted rather flamboyantly on television) , only to discover that it is about as much useful as an ordinary toothbrush.","Data (533, 711)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|713,893; s1p2|Data|895,1044","Data (533, 711)",3,-,-,"Data (533, 711)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|713,893; s1p2|Data|895,1044"
"(713, 893)",s1p2,"Experiments have been conducted in which subjects preferred a $90 bottle of wine over the same bottle of wine priced at $10, based upon the simple notion that ""expensive is better"".","Data (713, 893)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|533,711; s1p2|Data|895,1044","Data (713, 893)",3,"s1p2|Primary_Claim|0,119",-,"Data (713, 893)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|533,711; s1p2|Data|895,1044"
"(895, 1044)",s1p2,"Many a politician's career has been uplifted or even destroyed, based purely on how the media projected him/her, regardless of his/her actual caliber.","Data (895, 1044)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|533,711; s1p2|Data|713,893","Data (895, 1044)",3,-,-,"Data (895, 1044)",2,"s1p2|Primary_Claim|0,119","s1p2|Data|121,531; s1p2|Data|533,711; s1p2|Data|713,893"
"(0, 82)",s1p3,"All too often, what we think we see becomes far more important than what really is.","Primary_Claim (0, 82)",3,"s1p1|Final_Claim|0,77","s1p2|Primary_Claim|0,119","Primary_Claim (0, 82)",2,"s1p1|Final_Claim|0,77","s1p2|Primary_Claim|0,119","Primary_Claim (0, 82)",3,"s1p1|Final_Claim|0,77","s1p2|Primary_Claim|0,119"
"(84, 471)",s1p3,"This aspect of human psychology may often lead to clouded, biased judgment. This is precisely why the watchword of most courts of justice is ""innocent until proven guilty"". If judges allowed themselves to form their opinions of people based purely on what they felt, or others said, there would be complete havoc. How often we have heard the expression- ""Never judge a book by its cover""!","Data (84, 471)",3,"s1p3|Primary_Claim|0,82",-,"Data (84, 471)",2,"s1p3|Primary_Claim|0,82",-,"Data (84, 471)",3,"s1p3|Primary_Claim|0,82",-
"(0, 271)",s1p4,"In conclusion I would say that we should use this aspect of the human mind to create a positive impression of ourselves upon others, but at the same time, not let ourselves get carried away by external appearances and not let images and impressions influence our judgment.","Concluding_Summary (0, 271)",3,"s1p1|Final_Claim|0,77",-,"Concluding_Summary (0, 271)",2,"s1p1|Final_Claim|0,77",-,"Concluding_Summary (0, 271)",3,"s1p1|Final_Claim|0,77",-
