discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 281)",s1p1,"Images and impressions, surely have a large impact on human's mind and this is one of the main reasons why marketing departments and communication agencies stresses so much time in finding the right image, symbol, picture, slogan in order to sell products and services to costumers.","Final_Claim (0, 281)",3,-,-,"Final_Claim (0, 281)",3,-,-,"Final_Claim (0, 281)",3,-,-
"(0, 157)",s1p10,"After all, innovation is the key. Since innovation has brought as a world that goes far beyond the real one, why not wait to see what is going to happen next?","Nonannotated (0, 157)",-,-,-,"Nonannotated (0, 157)",-,-,-,"Nonannotated (0, 157)",-,-,-
"(0, 160)",s1p2,"This technique brings many benefits to sellers, politicians and whoever wants to appeal people: it is the fastest and easiest way to make people be by your side.","Data (0, 160)",2 (for all data elements),"s1p1|Final_Claim|0,281","s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219","Primary_Claim (0, 160)",3,"s1p1|Final_Claim|0,281",-,"Data (0, 160)",2 (for all data elements),"s1p1|Final_Claim|0,281","s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219"
"(0, 113)",s1p3,"In fact, our mind is set to store images that capture our attention better than remembering long, boring speeches.","Data (0, 113)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219","Data (0, 113)",2,"s1p1|Final_Claim|0,281",-,"Data (0, 113)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219"
"(0, 182)",s1p4,"Furthermore, images, slogan are one of the most important tools in the world. They have the ability to let you think what, for example, sellers want you to think about their products.","Data (0, 182)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219","Data (0, 182)",2,"s1p1|Final_Claim|0,281s1p2|Primary_Claim|0,160",-,"Data (0, 182)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p5|Data|0,264; s1p6|Data|0,160; s1p7|Data|0,219"
"(0, 264)",s1p5,"Perhaps this is a controversial instrument, since it could be used to trick people, who are going to be amazed by a product without realizing that they are thinking about an idealistic product that most likely is not going to be as presented by commercials and ads.","Data (0, 264)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p6|Data|0,160; s1p7|Data|0,219","Data (0, 264)",3,"s1p1|Final_Claim|0,281s1p2|Primary_Claim|0,160",-,"Data (0, 264)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p6|Data|0,160; s1p7|Data|0,219"
"(0, 160)",s1p6,"Perhaps images and fake slogan addressed to children should be banned, because it is so unethical to manipulate children to make their parents buy your services.","Data (0, 160)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p7|Data|0,219","Data (0, 160)",2,"s1p1|Final_Claim|0,281s1p2|Primary_Claim|0,160",-,"Data (0, 160)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p7|Data|0,219"
"(0, 219)",s1p7,Perhaps social medias and the internet revolution are destroying our society because people are spending too much time caring about what other peers think about them then creating strong relationships between each other.,"Data (0, 219)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160","Data (0, 219)",2,"s1p1|Final_Claim|0,281s1p2|Primary_Claim|0,160",-,"Data (0, 219)",-,"s1p1|Final_Claim|0,281","s1p2|Data|0,160; s1p3|Data|0,113; s1p4|Data|0,182; s1p5|Data|0,264; s1p6|Data|0,160"
"(0, 253)",s1p8,"However, these are the instruments and facts that are shaping our century, the world we are used to live in and instead of stressing too much the fact that images and impressions have too much of an effect on people we should learn how to deal with them.","Concluding_Summary (0, 253)",2,"s1p1|Final_Claim|0,281",-,"Data (0, 253)",2,"s1p1|Final_Claim|0,281s1p2|Primary_Claim|0,160",-,"Concluding_Summary (0, 253)",2,"s1p1|Final_Claim|0,281",-
"(0, 166)",s1p9,"An answer to this issue could be moderation, maybe we should implement some regulations that are going to let people understand that they might live in a biased world.","Nonannotated (0, 166)",-,-,-,"Nonannotated (0, 166)",-,-,-,"Nonannotated (0, 166)",-,-,-
