discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 112)",s1p1,"Both, competition and cooperation helps build character and building character is what helps you achieve success.","Lead (0, 112)",3,"s1p1|Final_Claim|114,259",-,"Final_Claim (0, 112)",3,-,-,"Nonannotated (0, 112)",-,-,-
"(114, 259)",s1p1,I personally think that success is obtained when the person learns to work while competing but also while creating a cooperative bond with others.,"Final_Claim (114, 259)",3,-,-,"Nonannotated (114, 667)",-,-,-,"Final_Claim (114, 259)",3,-,-
"(261, 667)",s1p1,"No one in this life is going to tell you how hard to work, you are the one in charge of making yourself work harder and a little competition is sometimes necessary to ensure that this happens. On the other hand, we must acknowledge that this is a society that was built by efforts of groups of people and not only by only one individual, that's why cooperation is necessary in any aspect you could think of.","Nonannotated (261, 667)",-,-,-,"Nonannotated (114, 667)",-,-,-,"Nonannotated (261, 667)",-,-,-
"(0, 54)",s1p2,Becoming more efficient in work is what everyone wants.,"Primary_Claim (0, 54)",2,"s1p1|Final_Claim|114,259","s1p3|Counterclaim|193,260; s1p3|Primary_Claim|0,90","Data (0, 646)",2,"s1p1|Final_Claim|0,112","s1p3|Data|0,579","Primary_Claim (0, 54)",3,"s1p1|Final_Claim|114,259","s1p3|Counterclaim|193,260; s1p3|Primary_Claim|0,90"
"(56, 646)",s1p2,"Getting a better job, with better salary is popularly aimed. To get that, people must compete with each other, one person, at the end of the day, will always have better abilities than the other and in most cases the other less capable individual will try to improve his or her performance in order to reach the desired position. Competition in this case is not bad, instead it helped built the character of a person. Without the drive of improving and becoming better than others, it would be virtually impossible for new discoveries to be made in this ever changing world we are living in.","Data (56, 646)",3,"s1p2|Primary_Claim|0,54",-,"Data (0, 646)",2,"s1p1|Final_Claim|0,112","s1p3|Data|0,579","Data (56, 646)",3,"s1p2|Primary_Claim|0,54",-
"(0, 90)",s1p3,This world is populated by societies that were founded by the efforts of many great people.,"Primary_Claim (0, 90)",2,"s1p1|Final_Claim|114,259","s1p2|Primary_Claim|0,54; s1p3|Counterclaim|193,260","Data (0, 579)",2,"s1p1|Final_Claim|0,112","s1p2|Data|0,646","Primary_Claim (0, 90)",3,"s1p1|Final_Claim|114,259","s1p2|Primary_Claim|0,54; s1p3|Counterclaim|193,260"
"(92, 191)",s1p3,All those conjugated efforts helped create what we now have. Cooperation is also key to improvement.,"Data (92, 191)",2,"s1p3|Primary_Claim|0,90",-,"Data (0, 579)",2,"s1p1|Final_Claim|0,112","s1p2|Data|0,646","Data (92, 191)",2,"s1p3|Primary_Claim|0,90",-
"(193, 260)",s1p3,"One may say that is easier to work alone, with no one bothering you.","Counterclaim (193, 260)",2,"s1p1|Final_Claim|114,259","s1p2|Primary_Claim|0,54; s1p3|Primary_Claim|0,90","Data (0, 579)",2,"s1p1|Final_Claim|0,112","s1p2|Data|0,646","Counterclaim (193, 260)",2,"s1p1|Final_Claim|114,259","s1p2|Primary_Claim|0,54; s1p3|Primary_Claim|0,90"
"(262, 367)",s1p3,"And even if this is reality, in one point of your life, you'll need someone to help you achieve your goal.","Rebuttal (262, 367)",3,"s1p3|Counterclaim|193,260",-,"Data (0, 579)",2,"s1p1|Final_Claim|0,112","s1p2|Data|0,646","Rebuttal (262, 367)",3,"s1p3|Counterclaim|193,260",-
"(369, 579)",s1p3,"You may try to avoid this, but eventually you'll be leaded to the path of cooperation. Obtaining this ability is hard, but a better version of yourself will be created through the effort you are putting into it.","Data (369, 579)",2,"s1p3|Rebuttal|262,367",-,"Data (0, 579)",2,"s1p1|Final_Claim|0,112","s1p2|Data|0,646","Data (369, 579)",2,"s1p3|Rebuttal|262,367",-
"(0, 758)",s1p4,"Great achievements could be obtained by a single person or by a group of people, and in those cases in which group competition is involved, cooperation must be reached somehow. Also between individuals, in one way of another, eventually, you'll have to work with someone else. One can't close their eyes and believe that only one ability is necessary for success, but we should have the thinking that both abilities are required in this ever changing world. This world desperately need people that's able to compete but also cooperate, we won't get anywhere if we just fight between us... But we won't never get better if we are just hugging each other all the time. Balance between this two abilities is key if we want to improve this world we are living in.","Concluding_Summary (0, 758)",2,"s1p1|Final_Claim|114,259",-,"Concluding_Summary (0, 758)",3,"s1p1|Final_Claim|0,112",-,"Concluding_Summary (0, 758)",2,"s1p1|Final_Claim|114,259",-
