discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 123)",s1p1,"In our current world, which is quite big, complicated and partly unknown, competition and cooperation are the two opposites.","Lead (0, 123)",3,"s1p1|Final_Claim|125,280",-,"Nonannotated (0, 280)",-,-,-,"Nonannotated (0, 123)",-,-,-
"(125, 280)",s1p1,"You can either choose to compete in order to reach your goals, or you can cooperate and try to reach your goals with other people in a more 'sympathic' way.","Final_Claim (125, 280)",3,-,-,"Nonannotated (0, 280)",-,-,-,"Final_Claim (125, 280)",3,-,-
"(0, 307)",s1p2,"First of all, I think that to compete can be, in some cases, great or at least useful. Indeed, it allows you to go further, that is to motivate you in order to reach success. This way, you can push your limits and improve yourself. It can also permit you to make great things and have the merit for yourself.","Data (0, 307)",3,"s1p2|Primary_Claim|733,784","s1p2|Data|309,731","Counterclaim (0, 784)",3,"s1p3|Final_Claim|471,559",-,"Data (0, 307)",3,"s1p2|Primary_Claim|733,784","s1p2|Data|309,731"
"(309, 731)",s1p2,"For example, competition can be good for your ego and for yourself in general if you go to an exam limited in candidates and you have it. In this example, having the exam can be really good for you. Competition is a way to motivate yourself. Indeed, knowing that you are not the only one to go to the exam can motivate you to work on it and maybe do some things you would not have been doing if you were not in competition.","Data (309, 731)",3,"s1p2|Primary_Claim|733,784","s1p2|Data|0,307","Counterclaim (0, 784)",3,"s1p3|Final_Claim|471,559",-,"Data (309, 731)",3,"s1p2|Primary_Claim|733,784","s1p2|Data|0,307"
"(733, 784)",s1p2,"Therefore, in some cases, competition can be useful.","Primary_Claim (733, 784)",3,"s1p1|Final_Claim|125,280","s1p3|Primary_Claim|696,801","Counterclaim (0, 784)",3,"s1p3|Final_Claim|471,559",-,"Primary_Claim (733, 784)",3,"s1p1|Final_Claim|125,280","s1p3|Primary_Claim|696,801"
"(0, 469)",s1p3,"Nevertheless, I think that most of the time, competition leads to tensions. Indeed, I do not really believe in competition because it means that you erase some other people who are just less lucky or talented than you. To compete means, in a certain way, to fight against someone and I think that if you lose, you will be angry and think it is unfair whereas if you win, you will find it normal and you will be glad. Competition can be hard and lead to bitter victories.","Data (0, 469)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|471,694","Rebuttal (0, 469)",2,"s1p2|Counterclaim|0,784",-,"Data (0, 469)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|471,694"
"(471, 559)",s1p3,"Moreover, I think the best achievements are made by people who are not trying to compete.","Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469","Final_Claim (471, 559)",3,-,-,"Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469"
"(561, 618)",s1p3,"Indeed, working in cooperation can lead to better results.","Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469","Nonannotated (561, 618)",-,-,-,"Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469"
"(620, 694)",s1p3,"You listen to others, you discover new points of view and you can progress.","Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469","Data (620, 801)",2,"s1p3|Final_Claim|471,559",-,"Data (471, 694)",3,"s1p3|Primary_Claim|696,801","s1p3|Data|0,469"
"(696, 801)",s1p3,I think that cooperation can bring more. It also seems more human than to compete with other human beings.,"Primary_Claim (696, 801)",3,"s1p1|Final_Claim|125,280","s1p2|Primary_Claim|733,784","Data (620, 801)",2,"s1p3|Final_Claim|471,559",-,"Primary_Claim (696, 801)",3,"s1p1|Final_Claim|125,280","s1p2|Primary_Claim|733,784"
