discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 70)",s1p1,"There is a popular saying that goes 'United we stand, Divided we fall.'","Lead (0, 185)",3,"s1p4|Final_Claim|960,1046",-,"Nonannotated (0, 70)",-,-,-,"Nonannotated (0, 185)",-,-,-
"(72, 185)",s1p1,"As this saying suggests, it is really important that there must be unity among people when working towards a goal.","Lead (0, 185)",3,"s1p4|Final_Claim|960,1046",-,"Final_Claim (72, 185)",2,-,-,"Nonannotated (0, 185)",-,-,-
"(187, 421)",s1p1,"In today's highly competitive society, it has become a norm to work as hard as possible in order to have an edge among the people. It has become increasingly necessary to be able to handle any difficult task as efficiently as possible.","Lead (0, 185)",3,"s1p4|Final_Claim|960,1046",-,"Nonannotated (187, 421)",-,-,-,"Counterclaim (187, 421)",3,"s1p4|Final_Claim|960,1046","s1p3|Primary_Claim|0,129; s1p4|Primary_Claim|295,317"
"(0, 208)",s1p2,"Although this may seem logical, it defies the meaning that the word 'humanity' suggests. Today's level of competition has created a scenario where, in order to succeed, we must step over anybody else's success","Primary_Claim (0, 208)",2,"s1p4|Final_Claim|960,1046","s1p3|Primary_Claim|0,129; s1p4|Primary_Claim|552,644","Data (0, 501)",1,"s1p1|Final_Claim|72,185",-,"Rebuttal (0, 208)",3,"s1p1|Counterclaim|187,421",-
"(211, 501)",s1p2,"For example, if a student is accepted into a university, it takes away the chance from another student who could possibly study there. Although it may be due to lower scores of the student, it can also be possible due to circumstances out of control of the student such as lack of resources.","Data (211, 501)",2,"s1p2|Primary_Claim|0,208",-,"Data (0, 501)",1,"s1p1|Final_Claim|72,185",-,"Data (211, 501)",3,"s1p2|Rebuttal|0,208",-
"(0, 129)",s1p3,"On the other hand, cooperating towards a goal helps people learn, grow and provide solutions for obstacles in the way of doing so.","Primary_Claim (0, 129)",2,"s1p4|Final_Claim|960,1046","s1p2|Primary_Claim|0,208; s1p4|Primary_Claim|552,644","Data (0, 264)",2,"s1p1|Final_Claim|72,185",-,"Primary_Claim (0, 129)",3,"s1p4|Final_Claim|960,1046","s1p1|Counterclaim|187,421; s1p4|Primary_Claim|295,317"
"(131, 264)",s1p3,"It helps people understand their potential, limitations and gives them a sense of security that there is always somebody to help them.","Data (131, 264)",2,"s1p3|Primary_Claim|0,129",-,"Data (0, 264)",2,"s1p1|Final_Claim|72,185",-,"Data (131, 264)",3,"s1p3|Primary_Claim|0,129","s1p4|Data|0,293"
"(0, 293)",s1p4,"When people know that they have to work together for a certain task, they try to be as connected as possible while in a competitive environment, they tend to not help each fully knowing that it may affect their position in the race. This creates a sense of envy and unfriendliness among people.","Data (0, 550)",3,"s1p4|Primary_Claim|552,644","s1p3|Data|131,264","Data (0, 550)",3,"s1p4|Primary_Claim|552,644",-,"Data (0, 293)",3,"s1p3|Primary_Claim|0,129","s1p3|Data|131,264"
"(295, 317)",s1p4,Man is a social animal.,"Data (0, 550)",3,"s1p4|Primary_Claim|552,644",-,"Data (0, 550)",3,"s1p4|Primary_Claim|552,644",-,"Primary_Claim (295, 317)",2,"s1p4|Final_Claim|960,1046","s1p1|Counterclaim|187,421; s1p3|Primary_Claim|0,129"
"(319, 550)",s1p4,"All things we do are not completely for ourselves, we may also do a lot of things that do not help us at all such as helping a random stranger on the street. Such acts signify that we, as, humans, tend to learn and develop together.","Data (0, 550)",3,"s1p4|Primary_Claim|552,644","s1p4|Data|646,958","Data (0, 550)",3,"s1p4|Primary_Claim|552,644",-,"Data (319, 644)",3,"s1p4|Primary_Claim|295,317","s1p4|Data|646,958"
"(552, 644)",s1p4,"Thus, staying in a cooperative environment can help progress be faster than what it is today.","Primary_Claim (552, 644)",3,"s1p4|Final_Claim|960,1046","s1p2|Primary_Claim|0,208; s1p3|Primary_Claim|0,129","Primary_Claim (552, 644)",3,"s1p1|Final_Claim|72,185",-,"Data (319, 644)",3,"s1p4|Primary_Claim|295,317","s1p4|Data|646,958"
"(646, 958)",s1p4,"To give an instance, suppose a country has developed a special supercomputer. Another country, with brilliant mathematicians could use it but due to competition, they do not let them use it. Ultimately, this harms the progress of humanity which, in absence of competition, could have helped change people's lives.","Data (646, 958)",2,"s1p4|Primary_Claim|552,644","s1p4|Data|0,550","Data (646, 958)",2,"s1p4|Primary_Claim|552,644",-,"Data (646, 958)",3,"s1p4|Primary_Claim|295,317","s1p4|Data|319,644"
"(960, 1046)",s1p4,"Thus, I believe that cooperation can help people achieve more success than competition.","Final_Claim (960, 1046)",2,-,-,"Concluding_Summary (960, 1046)",2,"s1p1|Final_Claim|72,185",-,"Final_Claim (960, 1046)",3,-,-
